java '-javaagent:../../../../Downloads/ngrinder-agent/lib/grinder-dcr-agent-3.9.1.jar' '-Djna.library.path=/home/john/.ngrinder_agent/file-store/admin/current/lib' '-Dpython.path=/home/john/.ngrinder_agent/file-store/admin/current/lib' '-Dpython.cachedir=/tmp/jython' '-Dngrinder.etc.hosts=john-VirtualBox:127.0.0.1,localhost:127.0.0.1,' '-Dsun.net.spi.nameservice.provider.1=dns,LocalManagedDns' '-Xms628m' '-Xmx628m' '-XX:PermSize=128m' '-XX:MaxPermSize=128m' -classpath '../../../../Downloads/ngrinder-agent/lib/ngrinder-runtime-3.4.jar:../../../../Downloads/ngrinder-agent/lib/grinder-patch-3.9.1-patch.jar:.:../../../../Downloads/ngrinder-agent/lib/grinder-dcr-agent-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/grinder-core-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/json-20090211.jar:../../../../Downloads/ngrinder-agent/lib/dnsjava-2.1.1.jar:../../../../Downloads/ngrinder-agent/lib/slf4j-api-1.6.4.jar:../../../../Downloads/ngrinder-agent/lib/logback-classic-1.0.0.jar:../../../../Downloads/ngrinder-agent/lib/picocontainer-2.13.6.jar:../../../../Downloads/ngrinder-agent/lib/jython-standalone-2.5.3.jar:../../../../Downloads/ngrinder-agent/lib/commons-lang-2.6.jar:../../../../Downloads/ngrinder-agent/lib/hamcrest-all-1.1.jar:../../../../Downloads/ngrinder-agent/lib/commons-io-2.0.1.jar:../../../../Downloads/ngrinder-agent/lib/ngrinder-runtime-3.4.jar:../../../../Downloads/ngrinder-agent/lib/grinder-httpclient-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/logback-core-1.0.0.jar:../../../../Downloads/ngrinder-agent/lib/junit-dep-4.8.2.jar:../../../../Downloads/ngrinder-agent/lib/grinder-http-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/asm-3.3.1.jar' net.grinder.engine.process.WorkerProcessEntryPoint

2016-05-30 19:09:12,486 INFO  The Grinder version 3.9.1
2016-05-30 19:09:18,914 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,932 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,940 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,968 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,979 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,016 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,031 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,055 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,068 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,077 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,093 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,113 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,132 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,139 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,176 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,197 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,253 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,272 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,286 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,295 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,308 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,315 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,335 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,370 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,379 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,396 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,411 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,428 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,442 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,463 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,470 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,485 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,492 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,501 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,523 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,530 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,575 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,583 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,595 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,618 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,684 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,692 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,714 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,744 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,750 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,759 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,782 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,795 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,801 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,824 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,830 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,836 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,861 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,871 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,888 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,895 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,902 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,917 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,930 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,951 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:19,968 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
